purchase_count,car_make,car_model,car_price,car_year,car_type,car_color,number_of_doors,fuel_type,transmission_type
17,Audi,A5,12378,2022,sedan,Red,5,Electric,Automatic
22,Audi,A4,30489,2022,sedan,Red,3,Hybrid,Automatic
38,BMW,Series 7,16233,2022,sedan,Silver,3,Gasoline,Manual
4,BMW,Series 1,32488,2022,hatchback,White,3,Electric,Manual
30,Audi,A1,14634,2022,hatchback,Gray,3,Electric,Automatic
32,Mercedes-Benz,E Class,43788,2022,combie,White,5,Gasoline,Automatic
3,BMW,M5,13226,2022,sedan,Black,5,Electric,Manual
49,Audi,Q7,27170,2022,SUV,Gray,5,Hybrid,Automatic
36,Audi,Q5,38696,2022,SUV,Blue,3,Diesel,Manual
12,Audi,A7,21708,2022,sedan,White,3,Gasoline,Manual
22,BMW,Series 2,43808,2022,coupe,Gray,5,Diesel,Manual
28,BMW,Series 4,27626,2022,coupe,Gray,5,Gasoline,Automatic
28,Audi,A5,34262,2022,sedan,Black,3,Electric,Automatic
39,Mercedes-Benz,A Class,23341,2022,hatchback,Black,5,Gasoline,Automatic
12,Audi,A7,13394,2022,sedan,Blue,3,Hybrid,Manual
30,BMW,Series 7,18443,2022,sedan,Black,3,Diesel,Automatic
45,Audi,Q7,28311,2022,SUV,Gray,5,Hybrid,Manual
17,Audi,Q5,23145,2022,SUV,Gray,3,Electric,Manual
9,Audi,Q7,27312,2022,SUV,Gray,3,Gasoline,Manual
25,BMW,Series 2,20817,2022,coupe,Gray,3,Gasoline,Manual
19,BMW,M3,41999,2022,sedan,Gray,5,Hybrid,Manual
4,Mercedes-Benz,Vito,41629,2022,van,White,3,Diesel,Manual
29,Mercedes-Benz,GLA,14170,2022,SUV,Red,3,Electric,Automatic
10,Mercedes-Benz,E Class,20450,2022,combie,Red,5,Hybrid,Manual
46,BMW,Series 7,42390,2022,sedan,White,5,Gasoline,Automatic
34,Mercedes-Benz,R Class,45604,2022,minivan,Silver,5,Diesel,Automatic
17,BMW,M5,37808,2022,sedan,Red,3,Electric,Automatic
6,Audi,Q7,42357,2022,SUV,Blue,5,Diesel,Automatic
35,Audi,A8,22480,2022,sedan,Gray,5,Diesel,Automatic
17,BMW,M3,19073,2022,sedan,Gray,3,Diesel,Manual
32,BMW,M3,45189,2022,sedan,Red,5,Hybrid,Automatic
43,Audi,A1,34120,2022,sedan,Red,3,Electric,Manual
21,Audi,A7,15309,2022,sedan,Gray,5,Electric,Automatic
6,Mercedes-Benz,A Class,21040,2022,hatchback,Silver,3,Hybrid,Automatic
3,BMW,M3,6880,2022,sedan,Red,5,Hybrid,Automatic
50,Mercedes-Benz,GLS,31280,2022,SUV,Blue,3,Diesel,Automatic
47,Mercedes-Benz,E Class,15942,2022,combie,Black,5,Electric,Manual
34,Audi,A7,20153,2022,sedan,Blue,5,Hybrid,Automatic
39,BMW,Series 1,39951,2022,hatchback,White,3,Diesel,Manual
46,BMW,Series 8,28229,2022,sedan,White,5,Diesel,Automatic
39,Mercedes-Benz,R Class,41959,2022,minivan,White,5,Diesel,Manual
31,Audi,A5,35771,2022,sedan,Red,3,Gasoline,Manual
38,BMW,Series 5,7983,2022,combie,Gray,3,Diesel,Manual
18,BMW,M3,32015,2022,sedan,Red,5,Diesel,Manual
1,BMW,Series 3,27174,2022,sedan,Red,5,Electric,Manual
30,Audi,A3,35497,2022,hatchback,Gray,5,Gasoline,Manual
21,Mercedes-Benz,GLC,19196,2022,SUV,Red,5,Diesel,Automatic
50,Audi,A5,14330,2022,sedan,Red,3,Electric,Automatic
8,BMW,Series 1,33882,2022,hatchback,Gray,3,Hybrid,Automatic
35,Audi,A7,32590,2022,sedan,White,5,Hybrid,Manual
45,Mercedes-Benz,Vito,27039,2022,van,Blue,3,Electric,Manual
48,Audi,A4,9426,2022,sedan,Silver,5,Diesel,Automatic
29,Mercedes-Benz,C Class,11762,2022,combie,Blue,3,Electric,Manual
30,Audi,A8,27623,2022,sedan,Black,5,Gasoline,Automatic
32,BMW,Series 8,23204,2022,coupe,White,3,Hybrid,Manual
25,BMW,Series 7,35539,2022,sedan,Gray,5,Diesel,Manual
26,BMW,Series 5,18137,2022,combie,Red,5,Hybrid,Automatic
2,Audi,A5,17524,2022,sedan,Black,5,Hybrid,Manual
38,Mercedes-Benz,Vito,22055,2022,van,Gray,3,Diesel,Manual
14,BMW,Series 3,39070,2022,combie,Gray,5,Hybrid,Automatic
2,BMW,Series 3,43845,2022,combie,Red,3,Hybrid,Manual
39,BMW,Series 6,22100,2022,combie,White,5,Diesel,Automatic
4,Audi,A3,27885,2022,hatchback,Blue,3,Diesel,Automatic
1,BMW,Series 4,33851,2022,coupe,Blue,5,Diesel,Manual
37,Mercedes-Benz,R Class,45412,2022,minivan,White,5,Hybrid,Manual
16,Mercedes-Benz,R Class,21670,2022,minivan,Silver,3,Hybrid,Automatic
25,Mercedes-Benz,S Class,42778,2022,sedan,Silver,3,Hybrid,Manual
33,BMW,Series 5,23228,2022,sedan,Blue,5,Gasoline,Automatic
8,BMW,Series 5,11707,2022,combie,Gray,3,Diesel,Manual
41,Mercedes-Benz,C Class,35661,2022,sedan,Black,5,Hybrid,Manual
10,Mercedes-Benz,GLA,36897,2022,SUV,Red,5,Gasoline,Automatic
50,Mercedes-Benz,A Class,33747,2022,hatchback,White,5,Diesel,Manual
6,Mercedes-Benz,E Class,21770,2022,combie,White,3,Diesel,Automatic
5,Audi,A1,31166,2022,hatchback,Red,3,Diesel,Automatic
41,Mercedes-Benz,GLC,11858,2022,SUV,Black,5,Diesel,Manual
44,Audi,A4,27679,2022,sedan,Red,3,Electric,Manual
38,Mercedes-Benz,E Class,43699,2022,sedan,White,5,Gasoline,Automatic
42,Audi,A4,11840,2022,sedan,Blue,5,Electric,Manual
16,Mercedes-Benz,GLS,9013,2022,SUV,Gray,3,Diesel,Automatic
4,Audi,A3,21401,2022,hatchback,Silver,3,Electric,Automatic
12,Audi,A5,39190,2022,sedan,Gray,5,Gasoline,Manual
7,Audi,Q3,23387,2022,SUV,Gray,5,Electric,Automatic
16,Audi,Q3,33890,2022,SUV,Silver,5,Diesel,Manual
1,Audi,Q3,45815,2022,SUV,Red,3,Electric,Automatic
30,Mercedes-Benz,Vito,23733,2022,van,White,3,Electric,Automatic
49,BMW,Series 5,19451,2022,sedan,Blue,5,Gasoline,Automatic
33,Mercedes-Benz,A Class,13805,2022,hatchback,Red,3,Hybrid,Manual
1,Audi,Q3,34874,2022,SUV,Black,3,Gasoline,Automatic
32,Audi,A1,35202,2022,sedan,Blue,3,Gasoline,Automatic
13,Mercedes-Benz,GLS,36785,2022,SUV,Blue,3,Electric,Automatic
39,BMW,Series 1,12152,2022,hatchback,Gray,5,Hybrid,Manual
31,Mercedes-Benz,E Class,21390,2022,combie,White,5,Gasoline,Manual
29,Mercedes-Benz,Vito,47693,2022,van,Gray,3,Electric,Automatic
34,Mercedes-Benz,GLS,40440,2022,SUV,White,5,Gasoline,Automatic
33,BMW,Series 4,26649,2022,coupe,Black,3,Gasoline,Automatic
8,BMW,Series 3,32458,2022,combie,Gray,5,Hybrid,Automatic
14,BMW,Series 5,30108,2022,sedan,Silver,5,Electric,Automatic
14,Mercedes-Benz,GLC,29348,2022,SUV,White,5,Electric,Manual
30,Mercedes-Benz,GLC,26429,2022,SUV,Blue,3,Hybrid,Automatic
8,Audi,A7,28737,2022,sedan,Red,5,Electric,Manual
3,Mercedes-Benz,Vito,36941,2022,van,Black,3,Electric,Automatic
32,BMW,Series 7,50240,2022,sedan,Blue,3,Hybrid,Automatic
20,BMW,Series 1,33351,2022,hatchback,Black,3,Hybrid,Automatic
27,BMW,Series 3,31302,2022,combie,Black,3,Gasoline,Automatic
40,Audi,Q7,17455,2022,SUV,Gray,5,Electric,Automatic
5,BMW,M3,31402,2022,sedan,White,5,Diesel,Automatic
45,Mercedes-Benz,E Class,26983,2022,sedan,Black,5,Hybrid,Automatic
15,Audi,A6,40480,2022,sedan,Silver,3,Gasoline,Manual
46,BMW,Series 1,26291,2022,hatchback,Blue,3,Hybrid,Automatic
4,Audi,Q3,27193,2022,SUV,Black,5,Electric,Manual
9,Audi,Q7,20542,2022,SUV,Gray,5,Hybrid,Automatic
3,Audi,Q5,49880,2022,SUV,Gray,5,Diesel,Automatic
12,Audi,A1,30937,2022,hatchback,Black,3,Hybrid,Manual
2,BMW,Series 5,13444,2022,sedan,Red,3,Gasoline,Automatic
15,Mercedes-Benz,GLA,45264,2022,SUV,Silver,5,Hybrid,Manual
48,Mercedes-Benz,B Class,31262,2022,hatchback,Gray,3,Electric,Manual
32,BMW,M5,29403,2022,sedan,Red,3,Hybrid,Automatic
20,BMW,M3,28137,2022,sedan,Red,3,Gasoline,Manual
16,Audi,A1,27103,2022,hatchback,Gray,3,Electric,Automatic
25,Mercedes-Benz,R Class,15350,2022,minivan,Black,3,Electric,Manual
1,BMW,Series 8,13190,2022,sedan,Blue,3,Diesel,Automatic
46,BMW,Series 1,18143,2022,hatchback,Silver,5,Diesel,Automatic
44,Audi,A5,22933,2022,sedan,Red,3,Hybrid,Automatic
23,BMW,Series 8,27054,2022,sedan,Gray,5,Hybrid,Automatic
11,Audi,Q5,19518,2022,SUV,Black,5,Electric,Manual
14,Mercedes-Benz,GLC,16308,2022,SUV,Black,3,Electric,Automatic
28,BMW,M3,45300,2022,sedan,White,3,Diesel,Manual
47,BMW,Series 4,8707,2022,coupe,Black,5,Diesel,Automatic
31,Audi,Q5,30693,2022,SUV,White,3,Diesel,Automatic
4,Mercedes-Benz,Vito,11947,2022,van,Silver,5,Hybrid,Automatic
14,BMW,M5,40566,2022,sedan,White,3,Gasoline,Manual
25,Audi,A4,40047,2022,sedan,Silver,3,Hybrid,Automatic
16,Mercedes-Benz,Vito,43798,2022,van,Gray,5,Diesel,Manual
5,Mercedes-Benz,GLC,15109,2022,SUV,Black,3,Electric,Automatic
36,Mercedes-Benz,GLS,16979,2022,SUV,White,3,Electric,Manual
30,Audi,Q3,16550,2022,SUV,Blue,3,Hybrid,Manual
6,BMW,Series 2,37678,2022,coupe,Red,3,Electric,Manual
49,Audi,A4,28218,2022,sedan,Silver,3,Gasoline,Manual
1,Audi,A3,22295,2022,sedan,Black,5,Hybrid,Manual
18,BMW,Series 3,40885,2022,combie,Black,3,Gasoline,Manual
17,BMW,Series 2,33911,2022,coupe,Blue,5,Electric,Manual
30,BMW,Series 8,10742,2022,coupe,White,3,Diesel,Automatic
48,BMW,M3,28644,2022,sedan,White,5,Electric,Manual
41,Audi,A6,36200,2022,sedan,Gray,5,Electric,Automatic
32,Audi,Q7,44703,2022,SUV,Black,3,Gasoline,Manual
3,BMW,Series 7,46822,2022,sedan,Red,5,Diesel,Automatic
23,Audi,A4,23009,2022,sedan,White,5,Gasoline,Automatic
5,BMW,Series 1,8452,2022,hatchback,Silver,5,Electric,Manual
34,Audi,A5,46136,2022,sedan,White,3,Diesel,Automatic
44,Audi,A1,18571,2022,sedan,Gray,3,Diesel,Automatic
3,Mercedes-Benz,S Class,41190,2022,sedan,Black,3,Gasoline,Manual
29,BMW,Series 3,26750,2022,combie,Black,3,Hybrid,Automatic
28,BMW,Series 6,41223,2022,combie,Black,5,Electric,Automatic
30,Mercedes-Benz,S Class,14610,2022,sedan,Gray,5,Electric,Manual
37,Mercedes-Benz,GLA,40412,2022,SUV,White,5,Electric,Manual
8,Mercedes-Benz,B Class,20540,2022,hatchback,Black,3,Gasoline,Manual
15,Audi,A8,42519,2022,sedan,White,5,Diesel,Automatic
45,BMW,M3,33026,2022,sedan,Blue,5,Hybrid,Manual
27,Audi,A8,35997,2022,sedan,Black,3,Gasoline,Manual
30,Mercedes-Benz,Vito,30429,2022,van,Black,3,Hybrid,Manual
33,Mercedes-Benz,GLC,16195,2022,SUV,Gray,3,Gasoline,Manual
5,Mercedes-Benz,Vito,35248,2022,van,Silver,3,Electric,Automatic
12,Mercedes-Benz,B Class,12559,2022,hatchback,Blue,5,Diesel,Automatic
8,Mercedes-Benz,GLC,44435,2022,SUV,Red,3,Diesel,Automatic
2,Audi,A1,14643,2022,hatchback,White,3,Hybrid,Automatic
42,Audi,Q7,12671,2022,SUV,White,3,Hybrid,Automatic
36,BMW,Series 1,14904,2022,hatchback,White,5,Electric,Automatic
40,BMW,Series 6,33471,2022,sedan,Black,3,Gasoline,Manual
24,Mercedes-Benz,GLA,21433,2022,SUV,Blue,3,Gasoline,Manual
11,BMW,M5,23933,2022,sedan,White,5,Diesel,Manual
40,Audi,Q3,39284,2022,SUV,Red,3,Diesel,Manual
35,BMW,Series 5,22852,2022,sedan,Blue,3,Gasoline,Manual
33,Mercedes-Benz,C Class,12723,2022,sedan,Blue,3,Electric,Automatic
16,BMW,Series 7,20876,2022,sedan,Gray,3,Gasoline,Automatic
43,Mercedes-Benz,C Class,26572,2022,sedan,White,3,Hybrid,Automatic
3,BMW,M5,11980,2022,sedan,White,3,Diesel,Manual
14,Mercedes-Benz,GLS,10577,2022,SUV,Red,5,Electric,Manual
15,Mercedes-Benz,Vito,16609,2022,van,White,5,Gasoline,Automatic
34,Mercedes-Benz,GLS,21143,2022,SUV,Silver,3,Gasoline,Automatic
16,BMW,Series 2,20357,2022,coupe,Gray,5,Hybrid,Manual
42,Mercedes-Benz,C Class,45261,2022,sedan,Black,5,Electric,Manual
43,Mercedes-Benz,A Class,22936,2022,hatchback,White,5,Hybrid,Manual
44,BMW,Series 2,34212,2022,coupe,White,5,Electric,Automatic
21,Mercedes-Benz,S Class,48088,2022,sedan,White,5,Gasoline,Automatic
31,Mercedes-Benz,Vito,33615,2022,van,Blue,3,Diesel,Manual
38,Mercedes-Benz,A Class,34150,2022,hatchback,Black,5,Hybrid,Automatic
13,Audi,A8,39662,2022,sedan,Black,5,Gasoline,Manual
19,BMW,Series 6,25891,2022,sedan,Silver,3,Gasoline,Automatic
31,Mercedes-Benz,S Class,33651,2022,sedan,Black,5,Hybrid,Manual
32,Audi,Q7,28683,2022,SUV,Red,3,Diesel,Automatic
12,Audi,A1,30855,2022,sedan,Gray,5,Electric,Automatic
21,BMW,M5,34555,2022,sedan,Red,5,Electric,Automatic
39,BMW,Series 6,16551,2022,combie,White,3,Gasoline,Manual
34,BMW,Series 7,19133,2022,sedan,Red,5,Gasoline,Manual
50,Mercedes-Benz,R Class,37031,2022,minivan,Gray,3,Electric,Manual
20,Audi,A1,25684,2022,sedan,Black,5,Hybrid,Manual
16,BMW,Series 5,32344,2022,sedan,Blue,5,Hybrid,Manual
40,Audi,A1,19539,2022,hatchback,Red,5,Diesel,Manual
44,Audi,Q3,32735,2022,SUV,Gray,5,Diesel,Automatic
11,Mercedes-Benz,C Class,37764,2022,sedan,Black,5,Electric,Manual
23,BMW,Series 5,41216,2022,combie,Gray,3,Hybrid,Automatic
33,Mercedes-Benz,C Class,25104,2022,combie,White,3,Electric,Manual
42,Audi,Q3,12550,2022,SUV,White,3,Diesel,Manual
50,Audi,A6,26426,2022,sedan,Red,3,Electric,Manual
26,Audi,A5,32277,2022,sedan,Red,3,Hybrid,Manual
34,Audi,A3,33245,2022,hatchback,White,5,Diesel,Manual
9,BMW,Series 2,17276,2022,coupe,Blue,3,Gasoline,Manual
43,Mercedes-Benz,S Class,43240,2022,sedan,Blue,3,Gasoline,Automatic
33,Mercedes-Benz,C Class,15223,2022,combie,White,3,Electric,Automatic
29,BMW,M5,20196,2022,sedan,Black,3,Diesel,Manual
38,Mercedes-Benz,C Class,39376,2022,combie,Red,5,Hybrid,Manual
19,BMW,M5,20938,2022,sedan,Black,3,Electric,Manual
20,Audi,A3,18930,2022,sedan,Silver,5,Electric,Automatic
35,Mercedes-Benz,A Class,14001,2022,hatchback,Gray,3,Diesel,Manual
10,Mercedes-Benz,A Class,31012,2022,hatchback,Black,3,Gasoline,Manual
34,Mercedes-Benz,A Class,6830,2022,hatchback,White,5,Diesel,Manual
27,Audi,A6,27745,2022,combie,Gray,5,Hybrid,Automatic
22,BMW,Series 8,12075,2022,sedan,Gray,5,Electric,Manual
24,BMW,Series 1,21299,2022,hatchback,Blue,3,Electric,Manual
5,Audi,A5,17455,2022,sedan,Black,3,Diesel,Automatic
12,BMW,Series 2,22302,2022,coupe,Blue,3,Electric,Automatic
14,Audi,Q7,26606,2022,SUV,Silver,5,Electric,Manual
16,Mercedes-Benz,GLS,37629,2022,SUV,Gray,5,Hybrid,Manual
24,Mercedes-Benz,B Class,10886,2022,hatchback,Gray,5,Electric,Manual
14,Audi,Q7,42414,2022,SUV,Gray,5,Gasoline,Manual
40,Audi,A3,33056,2022,hatchback,White,5,Electric,Automatic
4,Audi,A5,23475,2022,sedan,Gray,3,Hybrid,Manual
43,Mercedes-Benz,R Class,17009,2022,minivan,White,5,Diesel,Manual
26,Mercedes-Benz,E Class,47166,2022,sedan,White,5,Gasoline,Automatic
47,Audi,A4,25226,2022,sedan,Gray,3,Diesel,Automatic
38,Audi,A8,16501,2022,sedan,Silver,5,Gasoline,Automatic
35,Audi,A4,37169,2022,sedan,White,3,Diesel,Automatic
7,Audi,A7,23109,2022,sedan,White,5,Electric,Automatic
1,Mercedes-Benz,GLA,24459,2022,SUV,White,3,Gasoline,Manual
45,Mercedes-Benz,GLC,15479,2022,SUV,Black,3,Electric,Manual
29,BMW,M5,22221,2022,sedan,Gray,5,Diesel,Manual
28,Audi,Q7,42153,2022,SUV,Red,5,Diesel,Manual
40,Audi,A8,13355,2022,sedan,Red,5,Electric,Manual
11,Mercedes-Benz,C Class,34501,2022,combie,Gray,5,Gasoline,Manual
46,Mercedes-Benz,B Class,29943,2022,hatchback,Black,5,Electric,Manual
45,Mercedes-Benz,Vito,17590,2022,van,Red,5,Gasoline,Manual
32,BMW,Series 4,44600,2022,coupe,Black,5,Electric,Manual
5,Audi,A1,27618,2022,hatchback,Red,5,Diesel,Manual
41,Mercedes-Benz,A Class,18140,2022,hatchback,Red,5,Electric,Automatic
40,BMW,Series 1,25954,2022,hatchback,Gray,3,Electric,Automatic
29,Mercedes-Benz,E Class,39715,2022,combie,White,5,Diesel,Manual
4,Audi,A8,17983,2022,sedan,Blue,5,Electric,Automatic
13,Mercedes-Benz,GLS,41231,2022,SUV,Gray,5,Hybrid,Manual
15,BMW,Series 5,23112,2022,combie,Silver,5,Electric,Automatic
18,Mercedes-Benz,A Class,13609,2022,hatchback,White,3,Diesel,Automatic
19,Mercedes-Benz,A Class,32999,2022,hatchback,Silver,5,Diesel,Automatic
28,BMW,Series 3,23750,2022,combie,Blue,5,Gasoline,Manual
28,Mercedes-Benz,GLC,40590,2022,SUV,White,3,Gasoline,Manual
16,Mercedes-Benz,B Class,41985,2022,hatchback,Silver,5,Gasoline,Automatic
49,Mercedes-Benz,E Class,45114,2022,combie,Gray,3,Diesel,Manual
27,BMW,Series 2,27012,2022,coupe,Gray,5,Hybrid,Manual
11,Mercedes-Benz,R Class,21913,2022,minivan,Black,3,Diesel,Automatic
30,Audi,A3,36583,2022,sedan,Blue,5,Gasoline,Manual
23,Mercedes-Benz,B Class,15111,2022,hatchback,White,3,Electric,Automatic
39,Mercedes-Benz,GLC,20089,2022,SUV,Gray,5,Hybrid,Automatic
36,Mercedes-Benz,Vito,37637,2022,van,Blue,3,Hybrid,Manual
31,BMW,M3,28236,2022,sedan,Silver,5,Hybrid,Manual
44,Audi,A1,41211,2022,hatchback,Red,3,Electric,Automatic
43,BMW,Series 4,9207,2022,coupe,White,5,Hybrid,Manual
35,Audi,Q5,42973,2022,SUV,Blue,3,Hybrid,Automatic
27,Audi,Q5,19331,2022,SUV,White,3,Electric,Automatic
40,Audi,A7,33452,2022,sedan,Blue,5,Gasoline,Automatic
27,BMW,M3,43962,2022,sedan,White,5,Gasoline,Manual
47,Audi,Q5,43414,2022,SUV,Red,5,Gasoline,Automatic
37,Mercedes-Benz,GLA,32895,2022,SUV,Blue,5,Hybrid,Automatic
28,BMW,Series 4,32779,2022,coupe,Silver,5,Electric,Automatic
4,Mercedes-Benz,C Class,29183,2022,combie,Blue,5,Electric,Manual
35,Audi,A8,39084,2022,sedan,Gray,5,Diesel,Manual
46,Audi,A3,46167,2022,hatchback,Gray,3,Diesel,Automatic
16,Mercedes-Benz,GLS,28844,2022,SUV,Gray,3,Electric,Manual
10,Audi,A5,30833,2022,sedan,Silver,5,Gasoline,Automatic
2,BMW,Series 4,12835,2022,coupe,White,3,Hybrid,Manual
2,Mercedes-Benz,GLS,18820,2022,SUV,Black,3,Gasoline,Automatic
14,Audi,A4,32966,2022,sedan,White,5,Electric,Automatic
19,Audi,Q7,22868,2022,SUV,Black,5,Electric,Automatic
30,Mercedes-Benz,B Class,15457,2022,hatchback,White,5,Gasoline,Manual
28,Mercedes-Benz,S Class,39684,2022,sedan,Black,5,Electric,Manual
14,BMW,Series 8,33441,2022,coupe,Gray,3,Electric,Manual
38,BMW,M3,13727,2022,sedan,Gray,3,Diesel,Automatic
13,Mercedes-Benz,GLC,26703,2022,SUV,Gray,3,Gasoline,Automatic
17,Audi,A1,30716,2022,hatchback,White,5,Gasoline,Automatic
17,BMW,Series 4,20589,2022,coupe,Blue,5,Gasoline,Manual
40,Audi,A4,20195,2022,sedan,Silver,5,Gasoline,Automatic
41,Audi,Q7,47563,2022,SUV,Black,5,Gasoline,Automatic
29,Mercedes-Benz,GLA,35341,2022,SUV,Black,5,Hybrid,Manual
31,BMW,Series 1,13178,2022,hatchback,Silver,5,Gasoline,Automatic
16,Audi,A6,28248,2022,sedan,Blue,3,Hybrid,Automatic
49,Mercedes-Benz,GLA,29124,2022,SUV,Gray,5,Electric,Manual
19,Audi,A8,28387,2022,sedan,Blue,3,Electric,Automatic
6,Mercedes-Benz,GLC,27238,2022,SUV,Blue,5,Gasoline,Automatic
3,Audi,A8,19240,2022,sedan,Blue,3,Hybrid,Automatic
33,Mercedes-Benz,S Class,14990,2022,sedan,Blue,5,Gasoline,Manual
9,BMW,Series 1,20216,2022,hatchback,Gray,3,Gasoline,Manual
14,Mercedes-Benz,GLC,22997,2022,SUV,Gray,3,Hybrid,Automatic
32,Audi,A3,46112,2022,sedan,White,5,Gasoline,Automatic
50,BMW,Series 5,37024,2022,combie,Black,3,Electric,Automatic
23,Mercedes-Benz,C Class,14658,2022,combie,White,3,Hybrid,Automatic
42,BMW,Series 3,24446,2022,combie,White,5,Hybrid,Manual
34,Mercedes-Benz,R Class,16309,2022,minivan,Silver,3,Diesel,Manual
44,Audi,A1,20037,2022,sedan,Blue,3,Gasoline,Manual
1,Audi,A6,24966,2022,sedan,Silver,3,Electric,Automatic
37,Audi,Q7,28787,2022,SUV,Gray,3,Electric,Manual
2,BMW,Series 7,42404,2022,sedan,White,3,Diesel,Manual
41,Audi,A6,27209,2022,combie,Black,3,Gasoline,Automatic
36,Mercedes-Benz,C Class,36437,2022,combie,Black,3,Electric,Manual
39,Mercedes-Benz,A Class,43716,2022,hatchback,Blue,5,Hybrid,Manual
29,BMW,Series 5,15796,2022,sedan,White,3,Electric,Manual
32,Audi,A8,38049,2022,sedan,White,3,Hybrid,Manual
19,Mercedes-Benz,C Class,19004,2022,combie,Black,5,Electric,Manual
47,Audi,A5,27600,2022,sedan,Blue,5,Hybrid,Automatic
10,Audi,Q3,23151,2022,SUV,Gray,5,Hybrid,Manual
4,Audi,A8,38743,2022,sedan,Gray,3,Gasoline,Automatic
20,Audi,Q5,27293,2022,SUV,Silver,3,Gasoline,Manual
47,Mercedes-Benz,B Class,35670,2022,hatchback,Black,5,Electric,Manual
39,BMW,Series 1,22759,2022,hatchback,Black,5,Hybrid,Manual
41,BMW,Series 5,20435,2022,combie,White,3,Electric,Manual
26,Audi,A8,30703,2022,sedan,Gray,3,Hybrid,Manual
7,Audi,A3,25043,2022,sedan,Black,3,Hybrid,Automatic
39,BMW,M3,40909,2022,sedan,Gray,3,Diesel,Manual
42,BMW,M5,16583,2022,sedan,White,5,Hybrid,Manual
47,Mercedes-Benz,E Class,16302,2022,combie,Blue,5,Gasoline,Manual
