purchase_count,car_make,car_model,car_price,car_year,car_type,car_color,number_of_doors,car_condition,fuel_type,transmission_type
41,Audi,A1,32839,2024,Combie,Black,5,New,Diesel,Automatic
50,Audi,Q5,59673,2024,Coupe,Silver,3,Used,Diesel,Automatic
13,BMW,7 series,26580,2024,SUV,Gray,5,New,Diesel,Automatic
49,BMW,X1,44490,2024,SUV,Blue,5,Used,Gasoline,Automatic
9,Mercedes-Benz,R-Class,32130,2024,Coupe,Silver,5,Used,Diesel,Manual
44,BMW,X1,23248,2024,Hatchback,White,5,Used,Gasoline,Manual
13,Audi,Q3,57026,2024,SUV,White,5,Used,Gasoline,Automatic
36,BMW,1 Series,19402,2024,Sedan,Blue,5,Used,Gasoline,Automatic
1,Mercedes-Benz,R-Class,21882,2024,SUV,Silver,5,Used,Gasoline,Automatic
7,Audi,Q5,32317,2024,Sedan,Gray,5,Used,Diesel,Manual
4,BMW,7 series,59879,2024,SUV,Blue,5,Used,Electric,Manual
12,BMW,X5,23866,2024,Coupe,Gray,3,New,Gasoline,Manual
28,Audi,Q5,26328,2024,Coupe,Silver,3,New,Hybrid,Automatic
10,Audi,Q7,49287,2024,Hatchback,Black,3,Used,Gasoline,Manual
44,Audi,A7,17876,2024,Coupe,Red,3,New,Diesel,Automatic
10,Audi,Q7,29125,2024,Coupe,Silver,5,New,Gasoline,Manual
20,Audi,A8,59271,2024,Sedan,Silver,5,Used,Gasoline,Automatic
22,Mercedes-Benz,A-Class,17561,2024,Truck,Red,3,New,Diesel,Automatic
11,BMW,6 series,51612,2024,Combie,Silver,5,Used,Gasoline,Manual
40,Mercedes-Benz,S-Class,19782,2024,Sedan,Blue,5,Used,Diesel,Manual
12,BMW,X5,59938,2024,Combie,White,3,Used,Diesel,Automatic
14,Mercedes-Benz,CLA,34480,2024,Truck,Silver,3,New,Diesel,Automatic
31,Mercedes-Benz,B-Class,40300,2024,Coupe,Blue,3,Used,Gasoline,Automatic
46,Mercedes-Benz,CLA,33410,2024,Coupe,Gray,5,Used,Gasoline,Automatic
36,BMW,7 series,35864,2024,Truck,Black,3,Used,Gasoline,Automatic
13,Mercedes-Benz,E-Class,29481,2024,Coupe,Blue,3,Used,Diesel,Automatic
50,BMW,X3,57094,2024,Coupe,White,3,New,Diesel,Automatic
30,BMW,X6,45020,2024,SUV,Blue,3,New,Hybrid,Automatic
33,BMW,X3,55210,2024,SUV,Blue,3,New,Electric,Manual
6,Mercedes-Benz,R-Class,45925,2024,Truck,Red,5,Used,Gasoline,Automatic
17,Mercedes-Benz,S-Class,54254,2024,Hatchback,Gray,5,New,Gasoline,Automatic
34,BMW,X5,25838,2024,SUV,Red,5,Used,Gasoline,Manual
30,BMW,6 series,18269,2024,Truck,Gray,5,New,Gasoline,Manual
22,Mercedes-Benz,B-Class,52908,2024,SUV,Gray,3,New,Gasoline,Automatic
30,BMW,5 series,23586,2024,Hatchback,Gray,5,New,Gasoline,Automatic
4,Mercedes-Benz,A-Class,42014,2024,Combie,Red,5,New,Diesel,Manual
2,Audi,A5,54425,2024,Hatchback,Gray,3,Used,Gasoline,Manual
44,Audi,A8,39366,2024,Sedan,White,5,Used,Gasoline,Manual
28,BMW,5 series,51910,2024,Truck,Silver,5,New,Hybrid,Manual
44,Audi,A8,37456,2024,Truck,Black,3,New,Gasoline,Manual
24,Mercedes-Benz,A-Class,42919,2024,Hatchback,Gray,5,New,Gasoline,Manual
46,Mercedes-Benz,A-Class,19373,2024,SUV,Blue,3,New,Diesel,Automatic
37,Audi,A5,30721,2024,Truck,Blue,5,New,Gasoline,Manual
34,Mercedes-Benz,A-Class,52277,2024,Sedan,White,5,Used,Gasoline,Automatic
32,Mercedes-Benz,R-Class,56470,2024,Truck,Gray,3,Used,Gasoline,Automatic
22,BMW,X3,53571,2024,Truck,Silver,3,Used,Diesel,Automatic
30,Mercedes-Benz,A-Class,33183,2024,Hatchback,White,5,Used,Gasoline,Manual
6,Mercedes-Benz,S-Class,51738,2024,Sedan,Black,3,Used,Electric,Automatic
11,BMW,X1,36142,2024,Coupe,Black,3,Used,Gasoline,Manual
17,Audi,A1,52154,2024,Hatchback,White,5,Used,Electric,Automatic
30,Audi,A4,56212,2024,Combie,White,5,Used,Diesel,Automatic
45,Audi,A8,15991,2024,SUV,Gray,5,Used,Gasoline,Manual
5,Mercedes-Benz,Vito,57561,2024,Combie,Blue,3,New,Diesel,Automatic
45,Audi,Q7,58501,2024,Sedan,Black,3,New,Gasoline,Automatic
40,Mercedes-Benz,Vito,45483,2024,Combie,Gray,3,New,Diesel,Manual
22,Audi,A6,20497,2024,SUV,White,3,Used,Gasoline,Manual
2,BMW,X3,24776,2024,Hatchback,Gray,5,New,Gasoline,Manual
23,Audi,A4,32965,2024,Coupe,Silver,5,New,Gasoline,Automatic
36,Mercedes-Benz,E-Class,23350,2024,Sedan,White,5,New,Hybrid,Manual
49,Audi,Q3,17073,2024,Coupe,Black,3,Used,Diesel,Automatic
3,Mercedes-Benz,E-Class,54680,2024,Truck,Blue,5,New,Electric,Manual
4,Audi,A3,20901,2024,Sedan,White,5,Used,Diesel,Automatic
43,Audi,A6,28557,2024,SUV,Black,3,Used,Gasoline,Manual
19,Audi,A1,16922,2024,Hatchback,Blue,3,New,Gasoline,Manual
7,BMW,X5,59240,2024,Hatchback,Gray,5,Used,Gasoline,Automatic
3,Audi,Q3,38133,2024,Combie,Silver,3,New,Electric,Automatic
24,Audi,Q5,23761,2024,Hatchback,Red,5,New,Gasoline,Manual
49,BMW,3 Series,22508,2024,Sedan,Red,3,New,Diesel,Manual
47,Mercedes-Benz,B-Class,57280,2024,Sedan,Blue,3,New,Electric,Automatic
37,Audi,A8,31007,2024,Hatchback,Blue,5,New,Gasoline,Automatic
13,Audi,A8,56962,2024,Hatchback,Black,5,New,Diesel,Automatic
47,Mercedes-Benz,B-Class,15964,2024,Sedan,White,5,Used,Diesel,Manual
42,BMW,7 series,25574,2024,Hatchback,Black,3,New,Gasoline,Automatic
9,Audi,Q5,42417,2024,Truck,Gray,3,New,Gasoline,Manual
34,Audi,Q5,26987,2024,Hatchback,White,5,New,Diesel,Manual
20,Mercedes-Benz,B-Class,23460,2024,Combie,Red,5,New,Diesel,Manual
47,Audi,A6,43907,2024,Truck,Red,3,New,Gasoline,Automatic
47,Audi,Q3,42809,2024,Combie,Blue,5,New,Gasoline,Manual
48,Mercedes-Benz,S-Class,21483,2024,Coupe,Blue,5,Used,Gasoline,Automatic
1,BMW,Ix1,48349,2024,Hatchback,Gray,3,Used,Gasoline,Automatic
25,Audi,A3,46674,2024,SUV,Gray,3,New,Gasoline,Automatic
21,Audi,A1,50654,2024,Coupe,White,3,Used,Electric,Manual
50,BMW,7 series,22392,2024,Truck,White,5,New,Electric,Manual
41,BMW,Ix1,46741,2024,Sedan,Black,3,New,Diesel,Automatic
15,BMW,Ix1,51662,2024,SUV,Black,5,New,Electric,Manual
38,Mercedes-Benz,B-Class,36851,2024,Coupe,Blue,3,New,Gasoline,Manual
27,BMW,7 series,18862,2024,Combie,Gray,3,New,Gasoline,Manual
47,Audi,A5,51164,2024,Combie,White,3,Used,Diesel,Manual
18,Mercedes-Benz,E-Class,30371,2024,Hatchback,Black,5,New,Gasoline,Automatic
12,Audi,Q7,22367,2024,Truck,Silver,5,Used,Diesel,Manual
4,Audi,A1,56026,2024,Combie,Red,3,Used,Gasoline,Manual
16,Mercedes-Benz,B-Class,40879,2024,SUV,Gray,3,New,Hybrid,Manual
13,Mercedes-Benz,Vito,50580,2024,Coupe,Silver,3,New,Diesel,Automatic
29,BMW,X1,56507,2024,SUV,Blue,3,New,Diesel,Automatic
46,BMW,7 series,51205,2024,Hatchback,Gray,3,Used,Diesel,Automatic
50,Audi,Q7,50046,2024,Combie,Silver,5,Used,Gasoline,Automatic
6,Audi,A8,35794,2024,Combie,Black,3,New,Diesel,Automatic
3,BMW,1 Series,40491,2024,Combie,Gray,5,New,Gasoline,Automatic
33,BMW,3 Series,54289,2024,Truck,Silver,3,New,Electric,Manual
13,Mercedes-Benz,A-Class,57407,2024,Combie,Silver,3,New,Diesel,Automatic
30,BMW,X1,47826,2024,SUV,Red,5,Used,Diesel,Automatic
16,Mercedes-Benz,R-Class,56104,2024,Coupe,Silver,3,New,Diesel,Manual
15,Audi,A5,28928,2024,SUV,Black,3,New,Diesel,Manual
46,Mercedes-Benz,CLA,38940,2024,Hatchback,Blue,3,Used,Gasoline,Automatic
38,Audi,Q7,55671,2024,SUV,Red,5,Used,Hybrid,Automatic
30,Mercedes-Benz,A-Class,17480,2024,Sedan,White,5,New,Diesel,Manual
30,BMW,Ix1,44090,2024,Combie,Silver,5,New,Diesel,Automatic
41,Mercedes-Benz,R-Class,32249,2024,Hatchback,Black,3,New,Diesel,Manual
26,Mercedes-Benz,CLA,40644,2024,SUV,Blue,3,Used,Gasoline,Automatic
12,Mercedes-Benz,GLC,49657,2024,Truck,Gray,3,New,Gasoline,Manual
8,Audi,Q3,56269,2024,Sedan,Silver,3,New,Diesel,Automatic
4,BMW,7 series,57760,2024,SUV,Black,5,Used,Electric,Automatic
6,BMW,5 series,49535,2024,Sedan,White,3,Used,Gasoline,Manual
6,Audi,A5,59176,2024,Sedan,Blue,5,Used,Electric,Automatic
29,Audi,A8,17237,2024,Hatchback,Blue,3,Used,Diesel,Automatic
7,Audi,Q5,31468,2024,SUV,White,5,Used,Gasoline,Automatic
32,Mercedes-Benz,Vito,35274,2024,Combie,Black,5,New,Diesel,Automatic
7,BMW,X5,17202,2024,Sedan,Red,5,New,Gasoline,Automatic
39,BMW,6 series,41757,2024,SUV,Blue,3,New,Gasoline,Manual
38,Audi,A7,27042,2024,SUV,Red,5,Used,Hybrid,Manual
14,Mercedes-Benz,CLA,20987,2024,Hatchback,Black,3,New,Electric,Manual
17,BMW,X6,28032,2024,Combie,Gray,3,Used,Diesel,Automatic
13,Audi,A6,18195,2024,SUV,Red,5,Used,Diesel,Manual
26,BMW,X5,50760,2024,Truck,Gray,5,New,Hybrid,Manual
13,Audi,Q7,52554,2024,SUV,Gray,5,New,Gasoline,Automatic
47,Audi,A1,29043,2024,Truck,Silver,3,New,Diesel,Manual
22,Audi,Q5,51228,2024,Truck,Red,3,New,Gasoline,Manual
3,Mercedes-Benz,C-Class,38228,2024,Coupe,Gray,3,New,Hybrid,Manual
32,BMW,X6,30626,2024,Truck,Black,5,Used,Diesel,Manual
20,Mercedes-Benz,A-Class,25592,2024,SUV,Black,3,Used,Electric,Manual
22,Mercedes-Benz,G-Class,34404,2024,Coupe,Silver,5,New,Gasoline,Manual
49,Audi,A4,57339,2024,SUV,Gray,3,New,Diesel,Automatic
4,Mercedes-Benz,GLC,37358,2024,Truck,Red,3,New,Gasoline,Automatic
33,Audi,Q5,22934,2024,Sedan,Black,5,New,Electric,Automatic
15,BMW,X3,33440,2024,Combie,White,5,New,Gasoline,Automatic
50,BMW,X6,36632,2024,Coupe,White,3,New,Gasoline,Automatic
24,Audi,A1,35032,2024,Hatchback,Silver,3,New,Gasoline,Manual
13,Audi,A1,39780,2024,Coupe,Silver,3,New,Diesel,Automatic
48,BMW,X5,28541,2024,Hatchback,Red,3,Used,Gasoline,Manual
2,Mercedes-Benz,R-Class,59234,2024,Sedan,White,5,Used,Hybrid,Manual
3,Mercedes-Benz,C-Class,29448,2024,Truck,Blue,5,New,Diesel,Automatic
49,BMW,Ix1,18271,2024,Combie,Gray,5,Used,Gasoline,Manual
35,Mercedes-Benz,GLC,49056,2024,Combie,Black,3,Used,Diesel,Automatic
18,Mercedes-Benz,GLC,45919,2024,Hatchback,Red,5,Used,Diesel,Automatic
47,Mercedes-Benz,E-Class,30928,2024,Truck,White,5,Used,Gasoline,Manual
37,Audi,Q3,32853,2024,Truck,White,5,New,Gasoline,Manual
1,Audi,A7,50280,2024,Hatchback,Silver,5,Used,Gasoline,Automatic
42,BMW,X6,53695,2024,Hatchback,Silver,5,New,Gasoline,Manual
12,Mercedes-Benz,G-Class,31451,2024,SUV,White,5,Used,Electric,Manual
46,Mercedes-Benz,B-Class,26152,2024,Combie,White,5,New,Diesel,Automatic
46,Audi,A6,45588,2024,Coupe,Black,5,Used,Gasoline,Automatic
35,BMW,7 series,51290,2024,Truck,White,3,Used,Gasoline,Manual
23,Audi,Q7,41410,2024,Combie,Silver,5,Used,Diesel,Manual
17,BMW,1 Series,41242,2024,Truck,Blue,3,New,Gasoline,Automatic
31,Mercedes-Benz,Vito,45284,2024,Sedan,Red,3,Used,Diesel,Automatic
13,Audi,Q7,57114,2024,Sedan,Black,3,Used,Diesel,Automatic
6,Audi,A4,17313,2024,Hatchback,Silver,5,New,Diesel,Automatic
10,Audi,A4,30044,2024,Hatchback,Blue,5,New,Gasoline,Automatic
44,BMW,Ix1,28483,2024,Truck,Red,5,New,Gasoline,Manual
41,Mercedes-Benz,A-Class,58278,2024,Truck,White,3,New,Gasoline,Manual
15,BMW,X6,32971,2024,Truck,White,5,New,Diesel,Automatic
27,BMW,3 Series,30083,2024,Truck,Red,5,New,Gasoline,Automatic
30,Mercedes-Benz,A-Class,19636,2024,Sedan,Blue,5,New,Diesel,Automatic
19,Audi,A3,48378,2024,Hatchback,White,3,New,Diesel,Automatic
25,BMW,Ix1,16822,2024,Coupe,Gray,5,Used,Diesel,Manual
12,Audi,A4,16239,2024,Combie,Black,5,New,Gasoline,Manual
27,Audi,Q5,33380,2024,Combie,Gray,5,New,Diesel,Automatic
15,BMW,X5,56517,2024,Hatchback,Gray,3,Used,Gasoline,Manual
14,Mercedes-Benz,B-Class,44363,2024,Truck,Red,3,Used,Gasoline,Automatic
6,Audi,A7,33939,2024,Coupe,Gray,3,Used,Diesel,Manual
48,Mercedes-Benz,R-Class,35868,2024,Hatchback,Red,3,New,Gasoline,Manual
44,BMW,7 series,57109,2024,Sedan,Blue,5,Used,Gasoline,Automatic
15,Mercedes-Benz,E-Class,50323,2024,Hatchback,Gray,3,Used,Diesel,Automatic
50,Mercedes-Benz,Vito,58026,2024,Hatchback,Red,5,New,Diesel,Manual
21,BMW,7 series,22023,2024,Combie,Red,3,New,Electric,Manual
44,BMW,X3,19402,2024,Truck,White,5,Used,Gasoline,Manual
8,Audi,A4,34460,2024,Truck,Black,3,New,Gasoline,Automatic
19,BMW,X1,54990,2024,Hatchback,Blue,3,Used,Diesel,Automatic
37,Mercedes-Benz,G-Class,20550,2024,Sedan,Blue,5,Used,Gasoline,Automatic
7,BMW,1 Series,43312,2024,Combie,Silver,5,Used,Gasoline,Manual
8,Audi,A3,44421,2024,Truck,Blue,5,New,Gasoline,Automatic
47,Audi,A8,34556,2024,Truck,White,3,New,Gasoline,Manual
46,Mercedes-Benz,R-Class,31525,2024,Truck,White,5,New,Diesel,Manual
17,BMW,Ix1,59081,2024,Truck,White,3,Used,Gasoline,Manual
28,BMW,1 Series,56643,2024,Coupe,Silver,5,Used,Gasoline,Manual
3,Mercedes-Benz,B-Class,40320,2024,Truck,Gray,5,New,Gasoline,Automatic
50,Audi,Q5,52696,2024,SUV,Black,5,Used,Electric,Automatic
8,Audi,A6,47415,2024,Hatchback,Blue,3,New,Diesel,Automatic
25,BMW,6 series,50260,2024,Coupe,White,5,New,Diesel,Automatic
1,BMW,3 Series,30451,2024,Truck,Red,5,Used,Gasoline,Automatic
1,Audi,A1,15721,2024,Sedan,Red,3,New,Gasoline,Automatic
50,Audi,A4,29337,2024,Hatchback,Silver,3,New,Diesel,Manual
34,Audi,Q3,31636,2024,Hatchback,White,3,New,Diesel,Manual
28,Audi,Q5,49331,2024,Hatchback,Blue,5,Used,Electric,Automatic
41,Mercedes-Benz,B-Class,23792,2024,Truck,Black,3,New,Gasoline,Automatic
22,Mercedes-Benz,C-Class,28718,2024,Truck,Black,3,Used,Gasoline,Manual
3,BMW,1 Series,15916,2024,Coupe,Red,3,New,Diesel,Manual
25,Mercedes-Benz,G-Class,44994,2024,Truck,Black,3,New,Hybrid,Manual
20,Audi,Q5,48167,2024,Truck,Red,5,Used,Gasoline,Automatic
20,BMW,7 series,22543,2024,Hatchback,Black,3,Used,Electric,Manual
12,Audi,A8,33843,2024,Sedan,White,5,New,Hybrid,Manual
47,Mercedes-Benz,C-Class,32221,2024,Coupe,Gray,5,New,Electric,Manual
20,Audi,Q7,25387,2024,Sedan,Blue,5,New,Diesel,Automatic
40,Audi,A8,39107,2024,Sedan,Silver,5,New,Gasoline,Automatic
31,Audi,Q7,42502,2024,Hatchback,Red,3,New,Diesel,Manual
9,BMW,Ix1,46927,2024,Combie,Gray,3,Used,Gasoline,Automatic
22,Mercedes-Benz,GLC,56730,2024,Truck,Black,5,Used,Diesel,Automatic
23,Audi,A4,21552,2024,Sedan,Blue,5,Used,Electric,Manual
29,BMW,6 series,46126,2024,Combie,Red,3,Used,Diesel,Manual
31,BMW,3 Series,38064,2024,SUV,Gray,3,New,Electric,Automatic
15,BMW,Ix1,30680,2024,Truck,Black,3,New,Diesel,Automatic
17,Mercedes-Benz,GLC,18587,2024,Combie,Silver,5,New,Gasoline,Automatic
44,Audi,Q7,17410,2024,Truck,Red,5,New,Diesel,Manual
24,Mercedes-Benz,GLC,41381,2024,Coupe,Red,5,New,Gasoline,Manual
45,Audi,A5,48699,2024,Truck,Blue,3,New,Diesel,Manual
23,BMW,5 series,20557,2024,Combie,Gray,3,Used,Diesel,Manual
48,BMW,6 series,59901,2024,Combie,Red,3,Used,Diesel,Manual
8,Mercedes-Benz,C-Class,24552,2024,Coupe,Gray,5,Used,Gasoline,Manual
44,BMW,X6,32778,2024,Coupe,Gray,5,Used,Diesel,Automatic
48,Audi,A7,20201,2024,SUV,Silver,5,Used,Gasoline,Automatic
21,Audi,A4,30533,2024,Hatchback,Black,5,Used,Diesel,Manual
37,Mercedes-Benz,GLC,54879,2024,Combie,White,3,Used,Gasoline,Manual
50,BMW,Ix1,22378,2024,Sedan,Black,3,New,Diesel,Automatic
14,Mercedes-Benz,A-Class,43110,2024,SUV,Red,3,Used,Gasoline,Manual
11,BMW,5 series,57369,2024,Coupe,Gray,3,Used,Gasoline,Automatic
15,Audi,A3,29099,2024,Combie,Silver,3,New,Hybrid,Automatic
4,BMW,6 series,23212,2024,Truck,Gray,3,Used,Gasoline,Automatic
44,Mercedes-Benz,R-Class,44000,2024,Combie,Silver,3,New,Gasoline,Manual
30,BMW,X5,59891,2024,Hatchback,Silver,3,New,Diesel,Manual
31,Mercedes-Benz,C-Class,40058,2024,Truck,Gray,3,New,Diesel,Automatic
36,BMW,Ix1,17974,2024,Sedan,Blue,3,Used,Gasoline,Automatic
47,BMW,X1,29553,2024,Coupe,White,3,New,Hybrid,Automatic
26,Mercedes-Benz,CLA,42915,2024,Hatchback,White,5,New,Gasoline,Automatic
5,Audi,A6,21815,2024,Sedan,Gray,5,Used,Diesel,Manual
11,BMW,X5,49416,2024,Coupe,Silver,5,Used,Gasoline,Automatic
19,BMW,6 series,24670,2024,Sedan,Black,5,Used,Diesel,Manual
23,Audi,A3,33847,2024,SUV,Black,3,Used,Gasoline,Manual
33,BMW,X1,58479,2024,Truck,White,3,Used,Electric,Automatic
43,BMW,3 Series,45696,2024,Combie,White,3,Used,Diesel,Manual
27,Mercedes-Benz,CLA,22876,2024,Truck,Blue,5,Used,Gasoline,Manual
5,BMW,6 series,52725,2024,SUV,Silver,5,New,Electric,Manual
31,BMW,X1,51346,2024,Coupe,Black,3,New,Electric,Manual
47,BMW,6 series,49271,2024,Combie,Gray,3,New,Gasoline,Manual
17,Mercedes-Benz,G-Class,54259,2024,Coupe,Silver,5,Used,Diesel,Manual
19,Audi,A7,47855,2024,SUV,White,5,New,Gasoline,Manual
42,Mercedes-Benz,S-Class,16038,2024,Hatchback,Red,5,New,Gasoline,Manual
28,Audi,A1,41765,2024,Hatchback,Blue,5,Used,Gasoline,Manual
18,Mercedes-Benz,CLA,59114,2024,SUV,Gray,5,Used,Gasoline,Automatic
50,Mercedes-Benz,R-Class,48660,2024,Hatchback,Silver,3,New,Gasoline,Manual
11,Mercedes-Benz,B-Class,55086,2024,Coupe,Black,3,Used,Gasoline,Manual
44,Mercedes-Benz,C-Class,35097,2024,Sedan,Red,3,Used,Diesel,Automatic
39,Mercedes-Benz,B-Class,57343,2024,Coupe,White,5,New,Gasoline,Automatic
49,Audi,Q3,16561,2024,Hatchback,Black,3,Used,Gasoline,Manual
31,BMW,X3,55048,2024,Truck,Red,3,New,Hybrid,Manual
24,Audi,A4,58633,2024,Truck,Gray,3,Used,Diesel,Automatic
42,Audi,A7,35549,2024,Sedan,Red,5,New,Gasoline,Automatic
3,BMW,X1,48709,2024,Coupe,Black,5,Used,Gasoline,Automatic
29,BMW,X6,55095,2024,Combie,Gray,3,Used,Gasoline,Manual
15,Mercedes-Benz,GLC,34177,2024,Truck,Black,3,Used,Hybrid,Automatic
38,Mercedes-Benz,GLC,48771,2024,Truck,Red,5,Used,Gasoline,Manual
4,Mercedes-Benz,B-Class,37653,2024,SUV,Black,3,New,Gasoline,Manual
28,Audi,A1,44358,2024,Sedan,Silver,5,New,Diesel,Automatic
28,Audi,A3,26166,2024,Truck,Gray,5,Used,Diesel,Automatic
46,BMW,6 series,55057,2024,Hatchback,Black,3,New,Gasoline,Automatic
14,Mercedes-Benz,A-Class,57442,2024,Coupe,Silver,3,Used,Gasoline,Automatic
32,Mercedes-Benz,E-Class,33588,2024,Truck,Gray,3,Used,Gasoline,Manual
35,Audi,A1,58315,2024,Hatchback,Silver,3,Used,Gasoline,Automatic
17,BMW,7 series,50356,2024,Combie,White,5,Used,Gasoline,Automatic
16,Mercedes-Benz,S-Class,24074,2024,SUV,Blue,5,New,Diesel,Manual
3,Audi,A6,52049,2024,SUV,Red,3,New,Gasoline,Automatic
32,Audi,A4,54567,2024,Sedan,Red,5,New,Gasoline,Automatic
3,Audi,Q5,28932,2024,Coupe,Black,5,Used,Diesel,Automatic
17,BMW,1 Series,36267,2024,Truck,Blue,5,New,Gasoline,Automatic
8,Audi,A3,45908,2024,Combie,Red,3,Used,Diesel,Automatic
37,BMW,3 Series,39750,2024,Sedan,Blue,5,Used,Gasoline,Manual
41,Mercedes-Benz,B-Class,47312,2024,Sedan,Blue,3,Used,Gasoline,Automatic
6,BMW,X1,27500,2024,Truck,Gray,3,New,Electric,Manual
25,Mercedes-Benz,B-Class,17442,2024,Coupe,Red,5,New,Gasoline,Automatic
45,Audi,A8,45400,2024,Truck,Red,5,Used,Gasoline,Manual
50,Mercedes-Benz,G-Class,43830,2024,SUV,Gray,3,New,Electric,Automatic
36,Mercedes-Benz,E-Class,49364,2024,Coupe,White,5,New,Diesel,Manual
42,Audi,A3,41749,2024,Combie,White,5,New,Diesel,Automatic
35,Audi,A3,50217,2024,Truck,Blue,5,New,Gasoline,Automatic
40,BMW,6 series,33318,2024,Combie,Red,5,Used,Electric,Manual
26,Audi,A3,15670,2024,SUV,Silver,3,New,Gasoline,Automatic
28,Mercedes-Benz,R-Class,34755,2024,Combie,Red,3,Used,Gasoline,Manual
13,Audi,A6,36761,2024,Combie,Red,5,New,Gasoline,Automatic
24,Audi,A6,47014,2024,Sedan,Blue,3,Used,Gasoline,Automatic
20,Audi,A8,30448,2024,Hatchback,Gray,5,New,Gasoline,Manual
34,Mercedes-Benz,CLA,16399,2024,Truck,Gray,5,Used,Gasoline,Manual
1,Audi,A6,26244,2024,Sedan,Red,5,New,Diesel,Manual
44,BMW,5 series,28449,2024,SUV,Black,3,Used,Diesel,Automatic
15,BMW,X6,55460,2024,SUV,Blue,3,New,Gasoline,Manual
19,BMW,6 series,52328,2024,Hatchback,Gray,5,Used,Gasoline,Automatic
31,BMW,X5,21084,2024,Sedan,White,3,New,Diesel,Manual
43,Audi,A6,36707,2024,Sedan,White,3,Used,Diesel,Automatic
48,BMW,Ix1,23206,2024,Coupe,Blue,3,Used,Diesel,Manual
11,Mercedes-Benz,S-Class,52060,2024,SUV,Blue,5,Used,Electric,Manual
14,Mercedes-Benz,C-Class,35334,2024,Hatchback,White,5,Used,Diesel,Automatic
26,Audi,Q7,20687,2024,Combie,Silver,5,New,Gasoline,Manual
1,Mercedes-Benz,B-Class,20562,2024,Combie,Blue,3,Used,Diesel,Manual
50,Audi,Q3,48936,2024,SUV,Blue,5,Used,Gasoline,Manual
9,Mercedes-Benz,E-Class,25140,2024,Coupe,White,3,New,Gasoline,Manual
4,Mercedes-Benz,GLC,44009,2024,Truck,Black,5,Used,Diesel,Automatic
50,Mercedes-Benz,CLA,29480,2024,Hatchback,Silver,5,New,Gasoline,Automatic
10,Mercedes-Benz,A-Class,29352,2024,Combie,Blue,5,Used,Hybrid,Manual
10,Audi,A7,17285,2024,Combie,Gray,5,New,Gasoline,Manual
38,Mercedes-Benz,E-Class,37868,2024,Coupe,Gray,3,New,Diesel,Manual
50,Mercedes-Benz,S-Class,54899,2024,Truck,Silver,5,New,Hybrid,Automatic
27,Mercedes-Benz,E-Class,33269,2024,Truck,Red,5,Used,Gasoline,Automatic
43,BMW,X3,49304,2024,Sedan,Gray,5,New,Gasoline,Manual
43,BMW,6 series,58028,2024,Combie,Silver,3,New,Gasoline,Automatic
20,Mercedes-Benz,Vito,19940,2024,Sedan,Red,3,Used,Diesel,Automatic
7,Mercedes-Benz,R-Class,52077,2024,Coupe,Silver,3,Used,Hybrid,Manual
15,BMW,X1,25943,2024,Combie,Blue,5,New,Gasoline,Manual
2,BMW,7 series,27727,2024,Hatchback,Black,5,New,Diesel,Automatic
19,Audi,A6,22109,2024,Coupe,Blue,3,Used,Electric,Automatic
33,Mercedes-Benz,E-Class,43928,2024,Combie,Blue,5,Used,Hybrid,Automatic
48,Mercedes-Benz,G-Class,44946,2024,Sedan,Red,3,New,Gasoline,Automatic
33,Audi,A3,44852,2024,Truck,Red,5,New,Diesel,Automatic
